wave_base,wave_top,element
4135.0,4240.0,Alpha-Sensitive Region (4140–4240 Å)
5035.0,5051.0,Mg Region: MgH & Mg I b
5160.0,5190.0,Mg Region: MgH & Mg I b
7142.0,7154.0,TiO Bands
8493.0,8503.0,Ca II IR Triplet
8534.0,8550.0,Ca II IR Triplet
8655.0,8669.0,Ca II IR Triplet
8405.0,8445.0,Ti I Lines (8400–8450 Å)
8405.0,8445.0,Ti I Lines
4215.0,4240.0,Ca I 4226
4568.0,4574.0,Mg I 4571
6290.0,6310.0,O I Forbidden 6300
9205.0,9240.0,Optional S I 9212
